- 1.57624 4 1 ack 40 ------- 1 5.0 2.0 12 54
r 1.577024 1 2 ack 40 ------- 1 5.0 2.0 9 47
+ 1.577024 2 1 tcp 1040 ------- 1 2.0 5.0 19 55
- 1.577024 2 1 tcp 1040 ------- 1 2.0 5.0 19 55
+ 1.577024 2 1 tcp 1040 ------- 1 2.0 5.0 20 56
- 1.578688 2 1 tcp 1040 ------- 1 2.0 5.0 20 56
r 1.582816 4 5 tcp 1040 ------- 1 2.0 5.0 13 43
+ 1.582816 5 4 ack 40 ------- 1 5.0 2.0 13 57
- 1.582816 5 4 ack 40 ------- 1 5.0 2.0 13 57
r 1.5836 4 1 ack 40 ------- 1 5.0 2.0 10 48
+ 1.5836 1 2 ack 40 ------- 1 5.0 2.0 10 48
- 1.5836 1 2 ack 40 ------- 1 5.0 2.0 10 48
r 1.587792 1 4 tcp 1040 ------- 1 2.0 5.0 14 44
+ 1.587792 4 5 tcp 1040 ------- 1 2.0 5.0 14 44
- 1.587792 4 5 tcp 1040 ------- 1 2.0 5.0 14 44
- 1.588688 1 4 tcp 1040 ------- 1 2.0 5.0 17 52
r 1.588688 2 1 tcp 1040 ------- 1 2.0 5.0 19 55
+ 1.588688 1 4 tcp 1040 ------- 1 2.0 5.0 19 55
r 1.590352 2 1 tcp 1040 ------- 1 2.0 5.0 20 56
+ 1.590352 1 4 tcp 1040 ------- 1 2.0 5.0 20 56
r 1.59288 5 4 ack 40 ------- 1 5.0 2.0 13 57
+ 1.59288 4 1 ack 40 ------- 1 5.0 2.0 13 57
- 1.59288 4 1 ack 40 ------- 1 5.0 2.0 13 57
r 1.593664 1 2 ack 40 ------- 1 5.0 2.0 10 48
+ 1.593664 2 1 tcp 1040 ------- 1 2.0 5.0 21 58
- 1.593664 2 1 tcp 1040 ------- 1 2.0 5.0 21 58
+ 1.593664 2 1 tcp 1040 ------- 1 2.0 5.0 22 59
- 1.595328 2 1 tcp 1040 ------- 1 2.0 5.0 22 59
r 1.599456 4 5 tcp 1040 ------- 1 2.0 5.0 14 44
+ 1.599456 5 4 ack 40 ------- 1 5.0 2.0 14 60
- 1.599456 5 4 ack 40 ------- 1 5.0 2.0 14 60
r 1.60024 4 1 ack 40 ------- 1 5.0 2.0 11 51
+ 1.60024 1 2 ack 40 ------- 1 5.0 2.0 11 51
- 1.60024 1 2 ack 40 ------- 1 5.0 2.0 11 51
- 1.605328 1 4 tcp 1040 ------- 1 2.0 5.0 18 53
r 1.605328 2 1 tcp 1040 ------- 1 2.0 5.0 21 58
+ 1.605328 1 4 tcp 1040 ------- 1 2.0 5.0 21 58
r 1.606992 2 1 tcp 1040 ------- 1 2.0 5.0 22 59
+ 1.606992 1 4 tcp 1040 ------- 1 2.0 5.0 22 59
r 1.60952 5 4 ack 40 ------- 1 5.0 2.0 14 60
+ 1.60952 4 1 ack 40 ------- 1 5.0 2.0 14 60
- 1.60952 4 1 ack 40 ------- 1 5.0 2.0 14 60
r 1.610304 1 2 ack 40 ------- 1 5.0 2.0 11 51
+ 1.610304 2 1 tcp 1040 ------- 1 2.0 5.0 23 61
- 1.610304 2 1 tcp 1040 ------- 1 2.0 5.0 23 61
+ 1.610304 2 1 tcp 1040 ------- 1 2.0 5.0 24 62
- 1.611968 2 1 tcp 1040 ------- 1 2.0 5.0 24 62
r 1.612048 1 4 tcp 1040 ------- 1 2.0 5.0 15 49
+ 1.612048 4 5 tcp 1040 ------- 1 2.0 5.0 15 49
- 1.612048 4 5 tcp 1040 ------- 1 2.0 5.0 15 49
r 1.61688 4 1 ack 40 ------- 1 5.0 2.0 12 54
+ 1.61688 1 2 ack 40 ------- 1 5.0 2.0 12 54
- 1.61688 1 2 ack 40 ------- 1 5.0 2.0 12 54
- 1.621968 1 4 tcp 1040 ------- 1 2.0 5.0 19 55
r 1.621968 2 1 tcp 1040 ------- 1 2.0 5.0 23 61
+ 1.621968 1 4 tcp 1040 ------- 1 2.0 5.0 23 61
r 1.623632 2 1 tcp 1040 ------- 1 2.0 5.0 24 62
+ 1.623632 1 4 tcp 1040 ------- 1 2.0 5.0 24 62
r 1.623712 4 5 tcp 1040 ------- 1 2.0 5.0 15 49
+ 1.623712 5 4 ack 40 ------- 1 5.0 2.0 15 63
- 1.623712 5 4 ack 40 ------- 1 5.0 2.0 15 63
r 1.626944 1 2 ack 40 ------- 1 5.0 2.0 12 54
+ 1.626944 2 1 tcp 1040 ------- 1 2.0 5.0 25 64
- 1.626944 2 1 tcp 1040 ------- 1 2.0 5.0 25 64
+ 1.626944 2 1 tcp 1040 ------- 1 2.0 5.0 26 65
- 1.628608 2 1 tcp 1040 ------- 1 2.0 5.0 26 65
r 1.628688 1 4 tcp 1040 ------- 1 2.0 5.0 16 50
+ 1.628688 4 5 tcp 1040 ------- 1 2.0 5.0 16 50
